selling_club,selling_league,market_val,age_at_transfer,transfer_fee,transfer_window_idx,contract_left_days,position,minutes_played,yellow_cards,red_cards,second_yellow_card,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_perc,touches,touches_def_pen_area,touches_def_3rd,touches_att_3rd,touches_att_pen_area,take_ons_attempted,take_ons_success_perc,total_miscontrols,tackles_att_3rd,dribbles_tackeled_perc,total_blocks,passes_blocked,clearances,errors,dead_ball_pass,free_kick_pass,through_balls,switches,throw_ins,corner_kick,straight_corner,passes_offside,pass_compl_perc,short_pass_compl_perc,medium_pass_compl_perc,long_pass_compl_perc,assists,xA,crosses_into_penalty_area,goals,penalty_kicks_scored,shot_creation_ratio,aerials_won_perc_available,take_ons_success_perc_available,tackeled_during_take_on_perc_available,dribbles_tackeled_perc_available,pass_compl_perc_available,short_pass_compl_perc_available,medium_pass_compl_perc_available,long_pass_compl_perc_available,shot_creation_ratio_available
135,7,0.8286287814617282,0.5658263682466366,16000000.0,4.0,-1.0174681911288543,4,2.9,-0.91,-1.36,-0.89,-8.75,8.9,9.51,0.55,1.38,-3.51,20.83,-1.72,-0.9,-1.63,-4.75,-3.76,-0.1,-2.84,-7.55,-9.81,13.37,19.47,15.46,0.43,7.77,-0.67,-0.2,-5.32,-3.05,-7.26,-2.59,-10.03,-9.27,9.21,10.87,-4.4,-4.28,-1.08,-2.97,0.21,-0.11,0.04,0.37,3.56,11.23,3.79,13.96,-1.48,0.6151,1,1,1,1,1,1,1,1,1
98,5,1.1094566323372843,0.25723854607443475,22000000.0,16.0,-0.20293569362456856,4,4.68,-1.68,11.09,-1.0,0.2,13.94,-3.24,8.74,-2.79,-0.81,9.49,-1.92,-1.01,3.63,-9.75,-3.9,-0.42,9.99,-8.72,-10.4,45.43,21.67,28.25,-0.65,25.8,19.2,-0.29,-1.77,-5.68,-8.63,3.45,-3.85,-4.26,18.72,0.25,-1.62,6.91,-1.2,-3.64,0.27,0.02,-0.3,0.01,3.07,15.64,12.45,10.26,-1.66,0.313,1,1,1,1,1,1,1,1,1
81,7,-0.5755104729160516,0.8744141904188384,3400000.0,12.0,-1.134948839807357,3,-7.51,-3.11,-0.64,-0.42,-3.5,-5.9,-2.39,5.23,-4.25,-5.49,-0.71,-0.81,-0.42,-5.09,-2.95,-3.79,-0.16,-3.56,-3.07,-3.86,-0.68,-5.23,-1.16,-0.39,-5.52,-0.16,0.08,-0.8,-1.33,-0.13,-1.22,2.29,-3.63,-1.94,-3.33,4.73,4.82,-0.51,2.78,-0.03,0.0,0.09,-0.51,1.9,-0.75,2.06,-2.27,-0.7,0.3237,1,1,1,1,1,1,1,1,1
37,5,0.15464193936039392,-0.9771127426143724,28700000.0,16.0,2.7210271179292778,3,4.84,7.64,-1.36,-0.89,7.55,-2.28,-5.08,-8.32,-0.53,8.73,-1.51,8.13,-0.9,-3.03,-1.09,-3.11,0.13,-0.48,-3.77,-3.9,-3.46,-3.39,1.31,0.27,-5.8,1.9,0.39,6.69,7.97,-2.4,10.1,-11.85,-7.18,2.55,-7.07,-7.46,-5.19,-1.08,-5.7,0.54,0.06,0.45,0.16,-0.29,-2.57,-5.52,-1.69,-1.48,2.0402,1,1,1,1,1,1,1,1,1
155,4,-0.35084819221560687,1.8001776569354437,9000000.0,16.0,-0.05673755304687627,1,-9.2,-2.33,-0.48,-0.32,-0.95,-2.56,-1.79,-3.43,-3.9,-2.08,-0.53,-0.61,-0.32,-6.87,-3.43,-3.01,0.04,-8.86,-3.15,-5.51,-5.23,-3.28,-4.1,-0.03,-2.45,-2.05,0.35,-4.35,-2.37,-4.11,-0.91,-4.13,-3.76,-1.45,-2.5,-2.63,-1.83,-0.38,-2.01,-2.75,-3.67,-0.31,-0.11,-1.46,-2.53,-1.95,-1.7,-0.52,0.3528,1,1,1,1,1,1,1,1,1
92,4,1.951940184963952,-1.9028762091309779,62000000.0,14.0,-1.0435750019462993,0,9.36,-0.52,-1.28,-0.84,-2.2,-5.27,-4.78,-9.15,3.95,-1.81,-1.42,-1.62,-0.85,0.62,1.41,-3.04,0.48,14.42,6.31,21.09,-14.63,-7.35,-7.86,-0.03,-7.27,-5.47,-0.12,-0.59,12.04,9.96,-2.43,-4.73,3.18,-3.87,4.76,-6.41,-4.88,-1.01,-5.36,1.1,0.6,0.75,0.45,-3.89,-6.09,-5.2,-4.54,-1.4,0.3855,1,1,1,1,1,1,1,1,1
59,2,-0.07002034134005086,-0.051349276097767065,9000000.0,4.0,-0.9965827424748982,3,9.92,2.72,-1.2,-0.79,8.18,16.89,2.81,1.69,0.77,9.08,-1.33,-1.52,-0.79,11.93,3.3,0.27,0.45,13.71,-2.85,-1.81,13.03,11.04,9.44,0.25,8.59,2.58,-0.19,9.14,3.25,1.4,-2.28,-2.83,3.81,-0.3,3.55,-0.78,-4.58,-0.95,0.43,0.32,0.07,0.24,0.24,11.74,6.82,6.76,5.14,-1.31,0.3123,1,1,1,1,1,1,1,1,1
25,7,-0.4631793325658292,-0.051349276097767065,5000000.0,2.0,-1.0018041046383872,0,10.16,2.33,11.33,-0.84,11.22,-1.55,2.52,0.65,13.52,12.48,-1.42,8.23,-0.85,9.33,27.61,2.15,0.92,11.54,-0.73,6.72,5.43,0.96,-0.47,0.22,2.53,7.38,-0.2,11.42,-0.82,19.2,-2.43,21.82,-3.08,-3.87,-1.76,35.7,-4.88,-1.01,-2.63,0.01,-0.1,-0.14,-0.18,-3.89,-2.8,1.78,-4.54,-1.4,0.1692,1,1,1,1,1,1,1,1,1
18,3,-0.43509654747827364,-1.9028762091309779,6000000.0,14.0,-0.9965827424748982,1,-2.37,-0.78,-0.16,-0.11,-1.59,-0.54,1.83,-1.14,-1.3,-1.37,-0.18,-0.2,-0.11,-2.41,-0.74,0.51,-0.36,-2.58,-1.05,-1.94,-1.06,0.12,-1.37,-0.03,0.69,-0.68,0.08,-1.45,-0.79,-1.37,-0.3,-1.53,-1.25,-0.48,-0.83,-0.88,-0.61,-0.13,-0.67,0.86,0.55,0.59,-0.11,-0.49,1.13,-0.65,-0.57,-0.17,0.1656,1,1,1,1,1,1,1,1,1
92,4,-0.18235148169027326,-1.2857005647865742,11000000.0,3.0,-0.5814844504775218,4,-16.18,-5.83,-1.2,-0.79,-4.28,-8.26,5.25,-5.78,-8.8,-6.22,-1.33,-1.52,-0.79,-11.08,-4.01,-8.17,0.28,-15.75,-7.5,-12.74,-5.53,2.2,-9.64,0.08,-9.5,2.58,-0.02,-5.87,-4.1,-7.84,-2.28,-10.1,-9.41,-3.63,-4.61,-5.36,-4.58,-0.95,-5.03,0.39,0.0,0.45,0.36,-3.65,-3.04,-2.55,2.01,-1.31,0.1669,1,1,1,1,1,1,1,1,1
