player_name,selling_club,selling_league,market_val,age_at_transfer,transfer_fee,transfer_window_idx,contract_left_days
Strahinja Pavlović,Monaco,Ligue-1,5000000.0,21.0,7000000.0,10.0,725.0
David Odogu,Wolfsburg,Bundesliga,1500000.0,19.0,7000000.0,16.0,684.0
Pervis Estupiñán,Brighton,Premier-League,30000000.0,27.0,17000000.0,16.0,701.0
Pervis Estupiñán,Villarreal,La-Liga,20000000.0,24.0,17800000.0,10.0,1774.0
Pervis Estupiñán,Watford,Championship,15000000.0,22.0,16399999.999999998,6.0,284.0
Youssouf Fofana,Monaco,Ligue-1,30000000.0,25.0,26000000.0,14.0,313.0
Youssouf Fofana,R. Strasbourg,Ligue-1,6000000.0,25.0,15000000.0,7.0,1246.0
Samuele Ricci,Torino,Serie-A,30000000.0,23.0,23000000.0,16.0,1087.0
Samuele Ricci,FC Empoli,Serie-A,12000000.0,20.0,10800000.0,10.0,725.0
Adrien Rabiot,Marseille,Ligue-1,25000000.0,30.0,7000000.0,16.0,299.0
Ruben Loftus-Cheek,Chelsea,Premier-League,25000000.0,27.0,18900000.0,12.0,360.0
Rafael Leão,Lille,Ligue-1,15000000.0,20.0,49500000.0,4.0,1424.0
Rafael Leão,Sporting,Primeira-Liga,6000000.0,19.0,20200000.0,2.0,1417.0
Christian Pulisic,Chelsea,Premier-League,25000000.0,24.0,20800000.0,12.0,347.0
Christian Pulisic,Dortmund,Bundesliga,50000000.0,20.0,64000000.0,5.0,543.0
Christopher Nkunku,Chelsea,Premier-League,35000000.0,27.0,37000000.0,16.0,1395.0
Christopher Nkunku,Leipzig,Bundesliga,80000000.0,25.0,60000000.0,12.0,1090.0
Christopher Nkunku,PSG,Ligue-1,12000000.0,21.0,19500000.0,4.0,342.0
Marco Sportiello,AC Milan,Serie-A,1000000.0,33.0,1000000.0,16.0,707.0
Isak Hien,Hellas Verona,Serie-A,9000000.0,24.0,8860000.0,15.0,908.0
Odilon Kossounou,Leverkusen,Bundesliga,25000000.0,24.0,20000000.0,16.0,360.0
Honest Ahanor,Genoa,Serie-A,5000000.0,17.0,17000000.0,16.0,721.0
Marten de Roon,Middlesbrough,Championship,10000000.0,26.0,16700000.0,0.0,1050.0
Éderson,Salernitana,Serie-A,13000000.0,22.0,22900000.0,10.0,1449.0
Yunus Musah,Valencia,La-Liga,18000000.0,20.0,21200000.0,12.0,1056.0
Mario Pašalić,Chelsea,Premier-League,25000000.0,25.0,14500000.0,6.0,664.0
Marco Brescianini,AC Milan,Serie-A,900000.0,23.0,6200000.0,12.0,353.0
Raoul Bellanova,Torino,Serie-A,15000000.0,24.0,22000000.0,14.0,1038.0
Raoul Bellanova,Cagliari,Serie-A,5000000.0,23.0,7000000.0,12.0,1090.0
Davide Zappacosta,Chelsea,Premier-League,8000000.0,29.0,9000000.0,8.0,306.0
Davide Zappacosta,Torino,Serie-A,8500000.0,25.0,25000000.0,0.0,665.0
Nicola Zalewski,Inter,Serie-A,12000000.0,23.0,17000000.0,16.0,1407.0
Nicola Zalewski,Roma,Serie-A,12000000.0,23.0,8000000.0,16.0,360.0
Mitchel Bakker,Leverkusen,Bundesliga,9000000.0,25.0,8800000.0,12.0,718.0
Mitchel Bakker,PSG,Ligue-1,10000000.0,25.0,7000000.0,8.0,713.0
Charles De Ketelaere,AC Milan,Serie-A,34000000.0,23.0,23700000.0,14.0,1090.0
Lazar Samardžić,Udinese,Serie-A,17000000.0,23.0,14800000.0,16.0,360.0
Lazar Samardžić,Leipzig,Bundesliga,3000000.0,19.0,3000000.0,8.0,1420.0
Daniel Maldini,AC Milan,Serie-A,4500000.0,22.0,6500000.0,14.0,330.0
Kamaldeen Sulemana,Southampton,Championship,13000000.0,23.0,17000000.0,16.0,723.0
Kamaldeen Sulemana,Stade Rennais,Ligue-1,18000000.0,20.0,25000000.0,13.0,1245.0
Ademola Lookman,Leipzig,Bundesliga,10000000.0,24.0,10850000.0,10.0,691.0
Ademola Lookman,Everton,Premier-League,20000000.0,21.0,18000000.0,4.0,700.0
Gianluca Scamacca,West Ham,Premier-League,22000000.0,24.0,28000000.0,12.0,1418.0
Gianluca Scamacca,Sassuolo,Serie-A,30000000.0,23.0,38600000.0,10.0,1429.0
Nikola Krstović,Lecce,Serie-A,15000000.0,25.0,25000000.0,16.0,675.0
Pierluigi Gollini,Aston Villa,Championship,3500000.0,23.0,4400000.0,2.0,725.0
Gianluca Mancini,Atalanta,Serie-A,22000000.0,24.0,24000000.0,6.0,1029.0
Daniele Ghilardi,Fiorentina,Serie-A,250000.0,19.0,2049999.9999999998,10.0,344.0
Mario Hermoso,Espanyol,La-Liga,25000000.0,24.0,25000000.0,4.0,342.0
Angeliño,Leipzig,Bundesliga,8000000.0,27.0,5400000.0,14.0,360.0
Angeliño,Man City,Premier-League,35000000.0,24.0,18000000.0,8.0,725.0
Angeliño,PSV,Eredivisie,16000000.0,22.0,12000000.0,4.0,1452.0
Zeki Çelik,Lille,Ligue-1,18000000.0,25.0,7400000.0,10.0,355.0
Bryan Cristante,Atalanta,Serie-A,25000000.0,24.0,30600000.0,4.0,1455.0
Bryan Cristante,Benfica,Primeira-Liga,25000000.0,23.0,9500000.0,2.0,360.0
Manu Koné,Mönchengladbach,Bundesliga,20000000.0,23.0,18000000.0,14.0,665.0
Neil El Aynaoui,Lens,Ligue-1,15000000.0,25.0,23500000.0,16.0,705.0
Tommaso Baldanzi,FC Empoli,Serie-A,15000000.0,20.0,11500000.0,15.0,1244.0
Lorenzo Pellegrini,Sassuolo,Serie-A,12000000.0,25.0,10000000.0,0.0,1090.0
Stephan El Shaarawy,Roma,Serie-A,30000000.0,26.0,16000000.0,4.0,352.0
Matías Soulé,Juventus,Serie-A,25000000.0,21.0,25600000.0,14.0,695.0
Leon Bailey,Leverkusen,Bundesliga,35000000.0,23.0,32000000.0,8.0,691.0
Artem Dovbyk,Girona,La-Liga,35000000.0,27.0,30500000.0,14.0,1423.0
Jean Butez,Lille,Ligue-1,250000.0,25.0,200000.0,2.0,684.0
Mauro Vigorito,Frosinone,Serie-A,500000.0,28.0,500000.0,2.0,684.0
Diego Carlos,Sevilla FC,La-Liga,40000000.0,29.0,31000000.0,10.0,725.0
Diego Carlos,FC Nantes,Ligue-1,13000000.0,26.0,15000000.0,4.0,1090.0
Alberto Dossena,Cagliari,Serie-A,5000000.0,25.0,8500000.0,14.0,1090.0
Stefan Posch,Hoffenheim,Bundesliga,14000000.0,26.0,5000000.0,12.0,360.0
Marc Oliver Kempf,Stuttgart,Bundesliga,7000000.0,26.0,500000.0,11.0,155.0
Edoardo Goldaniga,Cagliari,Serie-A,900000.0,30.0,750000.0,15.0,152.0
Edoardo Goldaniga,Sassuolo,Serie-A,1500000.0,28.0,1100000.0,11.0,168.0
Álex Valle,Barcelona,La-Liga,6000000.0,21.0,6000000.0,16.0,360.0
Marco Sala,Inter,Serie-A,300000.0,25.0,3000000.0,4.0,684.0
Ignace Van der Brempt,Salzburg,Bundesliga,4000000.0,23.0,5000000.0,16.0,360.0
Máximo Perrone,Man City,Premier-League,12000000.0,22.0,13000000.0,16.0,1072.0
